_ID,TimeSt,Country,Province,City,Latitude,Longitude
4549592,01:33.4,CA,ON,Waterloo,43.4737,-80.5309
4549619,01:33.4,CA,ON,London,42.9611,-81.2431
4549651,01:33.6,CA,ON,Waterloo,43.43926,-80.55534
4549734,01:34.0,CA,AB,Calgary,51.0915,-114.2073
4549759,01:34.1,CA,ON,London,42.9611,-81.2431
4549850,01:34.2,CA,ON,Brantford,43.14094,-80.26627
4549947,01:30.0,CA,ON,London,43.0117,-81.2775
4550037,01:34.2,CA,ON,Brantford,43.14094,-80.26627
4550099,01:30.7,CA,ON,London,42.9529,-81.3239
4550156,01:30.8,CA,ON,Kitchener,43.4453,-80.4905
4550175,01:31.0,CA,ON,London,43.0346,-81.2554
4550209,01:31.6,CA,ON,Guelph,43.5425,-80.2676
4550218,01:31.7,CA,AB,Calgary,50.8889,-113.991
4550267,01:31.8,CA,ON,Guelph,43.5425,-80.2676
4550315,01:32.0,CA,ON,Brantford,43.1508,-80.2094
4550402,01:32.1,CA,ON,Guelph,43.5215,-80.2338
4550405,01:32.7,CA,ON,London,42.9334,-81.2258
4550488,01:33.3,CA,ON,Kitchener,43.4453,-80.4905
4550544,01:33.3,CA,ON,London,42.9699,-81.2081
4550602,01:33.3,CA,ON,London,43.0061,-81.2962
4550701,01:33.4,CA,ON,Sarnia,42.96866,-82.40455
4550772,01:33.4,CA,ON,London,43.0061,-81.2962
4550808,01:33.4,CA,ON,Sarnia,42.96866,-82.40455
4550872,01:34.5,CA,ON,Waterloo,43.4737,-80.5309
4550897,01:30.3,CA,ON,Waterloo,43.4634,-80.5201
4550906,01:30.4,CA,ON,London,42.9699,-81.2081
4550969,01:30.9,CA,ON,Waterloo,43.4634,-80.5201
4550996,01:31.0,CA,ON,Saint Thomas,42.78274,-81.15057
4551001,01:31.1,CA,ON,London,43.0346,-81.2554
4551086,01:31.3,CA,ON,Brantford,43.1772,-80.248
4551115,01:31.4,CA,ON,North York,43.78248,-79.41783
4551178,01:31.3,CA,ON,Brantford,43.1772,-80.248
4551235,01:31.4,CA,ON,Kitchener,43.4381,-80.5099
4551302,01:31.6,CA,ON,Guelph,43.5425,-80.2676
4551370,01:31.7,CA,ON,London,42.993,-81.169
4551455,01:32.1,CA,ON,Toronto,43.7033,-79.4152
4551499,01:32.4,CA,ON,London,42.9399,-81.2709
4551558,01:32.4,CA,ON,Kitchener,43.4381,-80.5099
4551643,01:32.6,CA,AB,Edmonton,53.55,-113.5
4551712,01:32.7,CA,QC,Saint-Constant,45.3668,-73.5659
4551765,01:32.8,CA,ON,Windsor,42.2908,-82.987
4551832,01:32.9,CA,ON,London,43.0061,-81.2962
4551850,01:32.9,CA,ON,London,43.0061,-81.2962
4551940,01:33.0,CA,ON,Guelph,43.5776,-80.2201
4551965,01:33.1,CA,ON,Stratford,43.35492,-80.98453
4551987,01:33.4,CA,ON,Cambridge,43.3677,-80.338
4551999,01:33.6,CA,ON,Kitchener,43.4278,-80.5135
4552085,01:33.6,CA,ON,London,42.9699,-81.2081
4552111,01:33.6,CA,ON,Kitchener,43.4278,-80.5135
4552133,01:33.7,CA,ON,Windsor,42.2962,-83.018
4552222,01:34.0,CA,ON,Windsor,42.2962,-83.018
4552225,01:33.7,CA,ON,Windsor,42.2962,-83.018
4552269,01:34.1,CA,ON,Windsor,42.2957,-82.9599
4552270,01:34.1,CA,ON,London,42.9399,-81.2709
4552278,01:34.4,CA,ON,Windsor,42.2908,-82.987
4552286,01:34.4,CA,ON,London,42.9399,-81.2709
4552352,01:34.4,CA,ON,London,42.9269,-81.2015
4552420,01:34.9,CA,ON,Kitchener,43.4278,-80.5135
4552474,01:35.0,CA,ON,Kitchener,43.4453,-80.4905
4552564,01:32.1,CA,ON,Saint Thomas,42.7792,-81.1927
4552577,01:32.3,CA,ON,Brantford,43.1207,-80.2893
4552664,01:32.5,CA,QC,Sainte-Foy,46.7823,-71.2882
4552762,01:32.5,CA,ON,London,42.9399,-81.2709
4552833,01:32.8,CA,ON,Kitchener,43.4553,-80.4845
4552908,01:33.0,CA,ON,Guelph,43.5425,-80.2676
4552991,01:33.2,CA,ON,Windsor,42.2654,-83.0261
4553026,01:33.5,CA,ON,Guelph,43.501,-80.239
4553085,01:33.8,CA,ON,Kitchener,43.4381,-80.5099
4553128,01:33.9,CA,ON,Kitchener,43.4381,-80.5099
4553215,01:33.5,CA,ON,Guelph,43.501,-80.239
4553222,01:34.4,CA,ON,Saint Thomas,42.7792,-81.1927
4553317,01:34.5,CA,ON,Guelph,43.5425,-80.2676
4553333,01:34.5,CA,ON,Guelph,43.5425,-80.2676
4553338,01:35.6,CA,ON,London,42.977,-81.321
4553416,01:35.7,CA,ON,Kitchener,43.4453,-80.4905
4553436,01:35.6,CA,ON,London,42.977,-81.321
4553464,01:36.4,CA,ON,London,42.9816,-81.2473
4553474,01:36.6,CA,ON,Windsor,42.2654,-83.0261
4553529,01:36.8,CA,AB,Calgary,51.03821,-114.02956
4553611,01:36.8,CA,ON,Scarborough,43.7876,-79.1541
4553647,01:36.8,CA,ON,Burlington,43.3317,-79.8066
4553689,01:36.8,CA,ON,Burlington,43.3317,-79.8066
4553696,01:36.9,CA,ON,Burlington,43.3889,-79.7682
4553791,01:36.9,CA,ON,Georgetown,43.5976,-79.94
4553849,01:36.9,CA,ON,Toronto,43.6414,-79.4151
4553900,01:37.1,CA,ON,Toronto,43.7068,-79.3991
4553903,01:34.4,CA,ON,Windsor,42.2957,-82.9599
4553979,01:34.7,CA,ON,Guelph,43.5412,-80.2469
4554006,01:35.0,CA,ON,Guelph,43.5412,-80.2469
4554021,01:35.2,CA,ON,Waterloo,43.4634,-80.5201
4554097,01:35.6,CA,ON,London,42.9611,-81.2431
4554177,01:35.7,CA,ON,London,43.0004,-81.2343
4554212,01:35.9,CA,ON,Kitchener,43.4381,-80.5099
4554262,01:36.1,CA,ON,London,42.9611,-81.2431
4554306,01:36.3,CA,ON,Waterloo,43.4663,-80.5402
4554316,01:36.5,CA,ON,Waterloo,43.4634,-80.5201
4554383,01:36.6,CA,ON,Toronto,43.7537,-79.2659
4554389,01:36.7,CA,ON,Mississauga,43.5972,-79.6931
4554446,01:36.7,CA,ON,Bowmanville,43.908,-78.707
4554481,01:36.8,CA,ON,Burlington,43.3753,-79.82895
4554502,01:37.0,CA,AB,Calgary,51.0823,-113.9578
4554596,01:37.1,CA,ON,Milton,43.5152,-79.8802
4554598,01:37.1,CA,ON,Barrie,44.3572,-79.6929
4554621,01:37.2,CA,AB,Calgary,51.13293,-114.2141
4554658,01:37.4,CA,AB,Calgary,51.0799,-114.081
4554681,01:34.4,CA,ON,Owen Sound,44.5642,-80.9428
4554689,01:34.5,CA,ON,Owen Sound,44.5642,-80.9428
4554723,01:34.6,CA,ON,Owen Sound,44.5642,-80.9428
4554758,01:34.7,CA,ON,Owen Sound,44.5642,-80.9428
